POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Virender Sehwag,30,6,500,3,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
2,Sanath Jayasuriya,26,5,520,2,3,CSK,Wankhede Stadium,14 May 2008
3,MF Maharoof,26,5,520,0,4,RR,Sawai Mansingh Stadium,11 May 2008
4,Rohit Sharma,26,6,433.33,3,2,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
5,Shane Watson,26,6,433.33,5,1,RCB,M. Chinnaswamy Stadium,26 April 2008
6,Misbah-ul-Haq,24,6,400,1,3,DC,M. Chinnaswamy Stadium,19 May 2008
7,MS Dhoni,23,6,383.33,4,1,RCB,M. Chinnaswamy Stadium,28 April 2008
8,Kamran Akmal,23,6,383.33,1,3,PBKS,IS Bindra Stadium,28 May 2008
9,Albie Morkel,23,6,383.33,1,3,DC,Arun Jaitley Stadium,08 May 2008
10,Brendon McCullum,22,6,366.66,0,3,RCB,M. Chinnaswamy Stadium,18 April 2008
11,Adam Gilchrist,22,5,440,1,3,MI,DY Patil Stadium,27 April 2008
12,Venugopal Rao,22,6,366.66,1,3,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
13,Sanath Jayasuriya,22,5,440,2,2,KKR,Wankhede Stadium,16 May 2008
14,Rohit Sharma,21,6,350,1,2,PBKS,IS Bindra Stadium,23 May 2008
15,Virender Sehwag,21,5,420,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
16,Adam Gilchrist,20,6,333.33,2,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008
17,Sanath Jayasuriya,20,6,333.33,2,2,CSK,Wankhede Stadium,14 May 2008
18,David Hussey,20,6,333.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
19,Shahid Afridi,20,5,400,2,2,CSK,Chidambaram,06 May 2008
20,Piyush Chawla,20,5,400,3,1,KKR,IS Bindra Stadium,03 May 2008
21,Shaun Pollock,19,4,475,0,3,DC,DY Patil Stadium,04 May 2008
22,Shane Watson,19,5,380,1,2,DC,Wankhede Stadium,30 May 2008
23,Mohammad Kaif,19,5,380,0,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
24,Adam Gilchrist,19,4,475,0,3,MI,DY Patil Stadium,27 April 2008
25,Adam Gilchrist,19,5,380,1,2,CSK,Chidambaram,06 May 2008
26,Balachandra Akhil,19,4,475,0,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008
27,Robin Uthappa,19,6,316.66,3,1,CSK,Chidambaram,23 April 2008
28,Shaun Marsh,19,5,380,3,1,RCB,IS Bindra Stadium,12 May 2008
29,Rohit Sharma,19,5,380,1,2,DC,Arun Jaitley Stadium,15 May 2008
30,Sanath Jayasuriya,19,6,316.66,0,3,CSK,Wankhede Stadium,14 May 2008
31,Rahul Dravid,18,6,300,0,3,RR,Sawai Mansingh Stadium,17 May 2008
32,Brendon McCullum,18,6,300,3,1,RCB,M. Chinnaswamy Stadium,18 April 2008
33,Virender Sehwag,18,5,360,3,1,MI,Arun Jaitley Stadium,24 May 2008
34,Yuvraj Singh,18,3,600,0,3,RR,IS Bindra Stadium,28 May 2008
35,Shane Watson,18,8,225,2,1,DC,Sawai Mansingh Stadium,11 May 2008
36,Shreevats Goswami,18,6,300,3,1,DC,M. Chinnaswamy Stadium,19 May 2008
37,Virender Sehwag,18,5,360,3,1,RCB,M. Chinnaswamy Stadium,19 May 2008
38,Sanath Jayasuriya,18,5,360,3,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008
39,Mark Boucher,18,5,360,1,2,DC,Arun Jaitley Stadium,30 April 2008
40,Sanath Jayasuriya,18,6,300,3,1,RCB,Wankhede Stadium,20 April 2008
41,Mahela Jayawardena,17,5,340,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008
42,Brendon McCullum,17,5,340,1,2,RCB,M. Chinnaswamy Stadium,18 April 2008
43,Misbah-ul-Haq,17,5,340,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008
44,Kumar Sangakkara,17,6,283.33,3,0,MI,IS Bindra Stadium,25 April 2008
